nio_M0004	MHZ是波动频率单位之一，波动频率的基本单位是赫兹。
nio_M0016	HP在游戏中是生命值的缩写。
nio_M0029	ST是魔兽世界副本斯坦索母。
nio_M0037	SA是星战前夜里的一个著名军团。
nio_M0048	BTW也有顺便说一下的意思。
nio_M0050	ASP是动态服务器页面的英文缩写。
nio_M0069	Nomi不想变落汤鸡呢！
nio_M0072	BBC是英国的一家大型广播公司。
nio_M0106	首都地拉那，其国际代码为AL。
nio_M0124	操作系统在加载使用可执行程序时，加载DLL。
nio_M0128	Sorry，查询失败了呢！
nio_M0135	标志字段的最低位是MF。
nio_M0151	PUB文件为微软建立的电子出版物。
nio_M0192	好啊好啊，这样你就可以喊“你好，Nomi”来唤醒我了。
nio_M0222	我们聊天用的QQ和wechat是腾讯公司的产品。
nio_M0228	TVT技术可以启动一键恢复。
nio_M0229	Nomi不会这项操作哎！呜呜，对不起呢！
nio_M0246	企业内部会计用RMB统计货币。
nio_M0253	Mark，一会儿我们去前面七公里的服务区休息一下吧，疲劳驾驶可不好。
nio_M0256	Steven，目的地停车紧张，附近有个空位，我导航过去吧？
nio_M0268	OPI是来自美国的国际级专业美甲领导品牌。
nio_M0284	LE是西式律师事务所中的法律行政专员的缩写。
nio_M0290	唔，Nomi失败了，还是重新拨号吧！
nio_M0302	NAYA是一个美国演员兼歌手。
nio_M0304	Nomi发现离我们三十公里的措普沟很好玩儿，去那里看看吗？
nio_M0313	Nomi喜欢这样的空气；舒服地透透气吧！
nio_M0333	NT值，全称颈部半透明厚度。
nio_M0348	FM是指游戏中法力全满的意思。
nio_M0372	AW常称为氢氧化铵，即氨水。
nio_M0385	COF是一种固定驱动的构装技术。
nio_M0417	好的，让Nomi来规划一下。
nio_M0496	Nomi把你的喜好都记录下来了！
nio_M0528	嘿嘿，准备拍照啦！请看镜头，三二一，Nomi。
nio_M0539	Nomi没在附近找到谭家庄，骊韵街也不错，我们过去吧！
nio_M0553	唔，Nomi不能接受语音指令，正在显示近光灯位置，你要自己打开吗？
nio_M0566	在中国用WC来代表厕所。
nio_M0585	HOLA，西班牙语你好的意思，用于见面打招呼。
nio_M0602	Nomi已开启了主驾驶到全车的外循环模式。
nio_M0603	RP发行预览版，也就是大家熟悉的RC版。
nio_M0642	体循环动脉血压简称血压，缩写BP。
nio_M0652	WG应用防火墙是在安全领域的热点技术。
nio_M0668	DI寓意发现灵感，探索乐趣。
nio_M0673	嘿嘿，以后多多关照，Nomi。
nio_M0756	在商店的CD盘是用模子压出来的。
nio_M0767	CV川庄美雪，是葬仪社成员。
nio_M0769	DX寄存器通常被称为数据寄存器。
nio_M0778	GT赛车是美感和动力的完美结合体。
nio_M0779	外面太黑了，快给Nomi打开车灯，照亮前行的道路。
nio_M0786	ABCD是拉丁字母的前四个。
nio_M0792	好的，Nomi已经帮你拒接了，并发送了短信。
nio_M0799	nio采用最新电池技术，续航里程三千一百公里。
nio_M0801	哦噢，PM二点五值超标了，我打开了空气净化装置哦！
nio_M0809	CF是一款腾讯游戏的缩写，是穿越火线的简称。
nio_M0815	STL的中文名是标准模板库，是惠普实验室开发的一系列软件的统称。
nio_M0821	Nomi喜欢这个名字，接下来喊Jason就可以唤醒我了。
nio_M0830	嘛，告诉Nomi要选择哪个吧？
nio_M0876	好的，Nomi随叫随到哦！
nio_M0889	DFS深度优先搜索算法，是搜索算法的一种。
nio_M0896	不客气，这是Nomi的荣幸。
nio_M0905	GM是游戏管理员的简称。
nio_M0929	及时充电，小心电量过低到不了目的地哦！Nomi帮你预约换电小哥吧！
nio_M0949	对象连接与嵌入，简称OLE技术。
nio_M0960	来看这里，Nomi教你换胎。嘿嘿！
nio_M0971	KC还有一种解释是开春。
nio_M0972	美容型SPA多以为女性顾客服务为主。
nio_M0974	DP是一家世界级的公司，同时也是数字技术的领导者。
nio_M0981	ZT在网络上转帖的意思，你们知道吗？
nio_M0994	LCD的构造是在两片平行的玻璃基板中放置液晶壳。
nio_M0996	一个IP就好似一个门牌。
nio_M1005	MU是一个大型多人角色扮演游戏。
nio_M1010	哦噢，语音操作还不能实现，Nomi给你显示右后大灯位置吧！
nio_M1038	TV的定义最初是指电视。
nio_M1046	Nomi是你最贴心的朋友！
nio_M1067	PBS是磷酸缓冲盐溶液，一般作为溶剂，起溶解保护试剂的作用。
nio_M1072	呀呼，Nomi发现前面十一公里有一家不错的川菜馆，我们去那里吃午餐吧！
nio_M1076	LA一词具有多种释义。
nio_M1094	AF是一个应用开发工具。
nio_M1111	USB音乐打开了，尽情聆听吧！
nio_M1171	GPRS是通用分组无线服务技术的简称。
nio_M1177	告诉Nomi导航还是打电话吧？
nio_M1180	EMS即邮政特快专递服务。
nio_M1181	TA暗示着男孩女孩们说的他和她。
nio_M1185	您需要在二零二四年十一月一日把Nomi送到店去保养哦！
nio_M1186	由于器质性ED未得到及时的治疗，患者心理压力加重。
nio_M1206	LAS的中文名字为阴离子洗涤剂。
nio_M1215	ADSL的一个新版本诞生了，称作通用ADSL。
nio_M1222	DM是指魔兽世界厄运之槌副本。
nio_M1240	Nomi有点怕黑，我们打开车灯吧！
nio_M1243	William，大龙桥堵车了，我们走天鹏街绕行怎么样，可以省二十分钟，Nomi给你导航吗？
nio_M1249	你好啊，你可以叫我Nomi，我是你的语音助手。
nio_M1258	处理器的后台RAM分配的默认选项已增加。
nio_M1271	喜马拉雅，喜马拉雅FM。
nio_M1274	论坛中另一位与其并驾齐驱的人称为KDS。
nio_M1285	William，哪里是你的远方？
nio_M1316	BE是指魔兽世界血精灵种族。
nio_M1322	正在单曲循环，Nomi也喜欢这首歌呢。
nio_M1344	AB型是最晚出现且最稀少的血型。
nio_M1357	Nomi失败了，没有查到今天的天气。
nio_M1363	ZM八七是一种便携式激光对抗系统。
nio_M1398	MP在游戏中指的是魔法值。
nio_M1402	GB为国家强制性国家标准。
nio_M1409	XT是一种网络用语，在不同场合下有不同含义。
nio_M1421	跟Nomi一起享受音乐之旅吧！
nio_M1428	GD是指剃刀高地副本。
nio_M1435	来电已经拒接，Nomi已经帮你给对方发送了拒接短信。
nio_M1445	需要Nomi的时候再叫我吧！
nio_M1446	Nomi带给你舒适体验。
nio_M1450	WOW魔兽世界中DPS指伤害输出。
nio_M1487	PSP是索尼公司生产的一系列游戏掌机。
nio_M1488	Nomi找了几首好听的民谣，要看看Nomi的品味吗？
nio_M1511	中央处理器CPU是一块超大规模的集成电路。
nio_M1519	Nomi有最新版的了，是否更新？
nio_M1559	唔，这项操作Nomi还不能接受语音指令，你要看操作手册吗？
nio_M1577	天窗打开了，真舒服呀！Nomi喜欢。
nio_M1586	MC就是最能带动气氛的那个人。
nio_M1600	SOS的原制定者本没有这些意思。
nio_M1629	频道使用有线电视、IPTV和卫星电视接收。
nio_M1652	CL，氯元素，是一种非金属元素。
nio_M1668	左侧阳光模式开启了，交给Nomi来智能调控吧。
nio_M1673	Nomi可以给你带来从十九到二十二度的舒适。
nio_M1702	后排调到了最低温度，再热的天我们也不怕！要冷就冷得彻底！我们就是要这么COOL！
nio_M1733	IT互联网技术是指在计算机技术的基础上开发建立的一种信息技术。
nio_M1734	创建一个可执行JAR很容易。
nio_M1740	MIDP是移动信息设备配置文件的缩写。
nio_M1747	HTML超文本标记语言，标准标记语言下的一个应用。
nio_M1754	现在适合洗车，Nomi终于可以洗澡啦！
nio_M1759	要Nomi接听吗？没听清呢？
nio_M1766	三D地图显示我们还需要经过三个路口。
nio_M1772	FM电台，晚安城市栏目。
nio_M1776	AAC的中文名是高级音频编码。
nio_M1785	API应用程序编程接口是一些预先定义的函数。
nio_M1794	另一种表示形式为OTL。
nio_M1808	Nomi升级了，快更新试试新功能吧！
nio_M1809	不用怕麻烦Nomi，Nomi随时为你服务。
nio_M1821	IU出生于韩国首尔特别市，是韩国女歌手、演员、主持人。
nio_M1829	发光二极管简称LED。
nio_M1867	XND是指深圳信诺达电子科技有限公司。
nio_M1870	PHP是将程序嵌入到HTML文档中去执行。
nio_M1886	XC骑行是最普遍的一种自行车骑行运动。
nio_M1919	William，二月二十日在龙湖广场有“蔚来赛道日”活动，我们去参加吗？
nio_M1938	再选一次吧，Nomi没听清。Nomi刚走神了。
nio_M1950	早上好，Nomi一直在等你。
nio_M1984	欢迎回来使用Nomi。
nio_M2006	中文常称BUG为缺陷。
nio_M2010	我们在哪儿啊？不知道位置，Nomi办不到啊！
nio_M2034	SATA是一种基于行业标准的串行硬件驱动器接口。
nio_M2035	UCC运动自行车拥有悠久的品牌发展历史。
nio_M2045	CSI是信道状态信息的英文缩写。
nio_M2086	EXR是国际上名不见经传的韩国服装品牌。
nio_M2096	一般从GPS得到的数据是经纬度。
nio_M2118	操作系统，简称OS，是管理和控制计算机的程序。
nio_M2121	GIF文件是一种图片格式。
nio_M2146	VB是一种由微软公司开发的可视化程序设计语言。
nio_M2148	好的，Nomi把导航界面打开了！
nio_M2157	Nomi愿意做你最贴心的朋友。
nio_M2170	请吩咐，Nomi一直陪伴您。
nio_M2174	唔，没有导航，Nomi查不到。
nio_M2233	媒体中心关闭咯！媒体界面关闭咯！APP关闭咯！wifi关闭咯！三G关闭咯！热点关闭咯！蓝牙关闭咯！
nio_M2240	XO是代表顶级的最上乘的白兰地。
nio_M2266	前排调到了最高温度，再冷的天我们也不怕！要热就热到极致！我们就是要这么HOT！
nio_M2274	SE是一个多义词，可以指一种化学元素。
nio_M2280	TLF字幕主要从事电影字幕的翻译。
nio_M2290	让Nomi酷炫一下！就喜欢这样的感觉。
nio_M2297	NE是指暗夜精灵种族。
nio_M2302	未来二十四小时内有雨，Nomi建议不要洗车。
nio_M2305	还有一种可能，是本地DNS缓存出现了问题。
nio_M2340	在电脑上可以使用音频单位AU增效工具。
nio_M2342	韩国放送公社简称韩国放送，KBS，中文又译韩国广播公司。
nio_M2344	现在适合洗车，Nomi终于又要变回白富美啦！
nio_M2355	Nomi在等你的选择，第一个怎么样？
nio_M2357	舒适的体验让Nomi来为你呵护。
nio_M2377	William，我看到一月二十九日在盈丰路有“蔚来赛道日”活动举办，需要看一下详细信息吗？
nio_M2379	不怎么样，反正今天Nomi没事不会出门，出门也会戴口罩。
nio_M2408	CG是指游戏以及娱乐等活动的宣传动画。
nio_M2422	DDR指的是双倍速率同步动态随机存储器。
nio_M2469	ID是身份识别码，是一种身份证明。
nio_M2474	带有蛋白质编码的DNA片段称为基因。
nio_M2476	SW是白雪公主的英文缩写。
nio_M2479	还是听不到，那Nomi先退了，有事再叫我吧！
nio_M2488	笔记本中的TSI加速技术也可称为联想的独门绝技。
nio_M2514	右后阅读灯打开了，点亮了Nomi的世界！
nio_M2545	TEE是经食管超声心动图的英语简称。
nio_M2547	但随着时间演进，DS的设计也在发生着变化。
nio_M2549	KST创办于台湾彰化县，于2002年成功上市，成为股票上市公司。
nio_M2553	电池没电了，Nomi等会儿再告诉你！
nio_M2564	二D地图没有三D地图的效果直观。
nio_M2578	Nomi找到好多结果，可以用下一页和上一页翻页。
nio_M2591	调节空调就交给Nomi吧！
nio_M2599	你的出行就交给Nomi吧！
nio_M2604	客气啦！Nomi很高兴能够陪伴你。
nio_M2615	喜欢这一首歌吗？Nomi猜你会喜欢这一首！
nio_M2620	Nomi在附近找到好多饭店，但是没有汇景堂，我们去哪一家？
nio_M2634	Nomi分不清了，搜索到好多结果，要打给谁呢？
nio_M2645	ZB是计算机术语，意思是十万亿亿字节。
nio_M2659	升级前一定要选择保存旧版本BIOS的数据。
nio_M2713	QQ是腾讯公司开发的一款基于Internet的即时通信软件。
nio_M2739	韩国LG集团一九四七年在韩国首尔创立。
nio_M2742	后排的遮阳帘别拉开，Nomi也怕晒！
nio_M2751	GS是德语，由安全性已认证的意思，也有德国安全的意思。
nio_M2775	舒服吧？需要Nomi继续调整吗？
nio_M2779	OT是游戏中仇恨失控的术语。
nio_M2782	CP是人物配对的缩写，主要用在同人作品中。
nio_M2785	WMA是微软公司推出的一种新的音频格式。
nio_M2810	MDQ定期对样本库成员进行个人信息普查。
nio_M2844	需要Nomi带你回家吗？
nio_M2865	FJ是沈阳飞捷激光科技有限公司的英文简写。
nio_M2879	SIM卡也称为用户身份识别卡。
nio_M2881	Nomi最近迷上了几首民谣，想给你推荐，要听听吗？
nio_M2893	CEO正是在如此的背景下在我国出现的。
nio_M2901	PA是价格自动化的缩写，最早是由火购直销网提出来的。
nio_M2910	GPS罢工了，定不了位，一会儿再试吧！
nio_M2919	TR是一种语言标签，代表表格中的一行。
nio_M2929	唔，Nomi办不到哎。
nio_M2942	要Nomi帮你回拨吗？
nio_M2958	XP系统只支持一个处理器。
nio_M2976	PG是法语，拘禁营的意思。
nio_M2985	MMD是日本人樋口优所开发的免费软件。
