nio_M0001	粉色的肉块从深棕色的皮毛中翻出，依稀能看到血迹。
nio_M0002	无可争辩，这是一支比上赛季更比眼下其他所有意甲球队，都更加强大的尤文图斯，他们卫冕实至名归。
nio_M0003	陈倩是南北朝时期，陈朝开国皇帝高祖，武皇帝陈霸先，长兄陈道谈的长子，陈朝第二位皇帝，在位七年后亡，葬于永宁陵。
nio_M0004	MHZ是波动频率单位之一，波动频率的基本单位是赫兹。
nio_M0005	一个多小时后，藏獒没有了动静。
nio_M0006	谢谢你们啊，让我走吧！
nio_M0007	长沙铁路公安处乘警及时赶到，将王某带到车厢接受调查。
nio_M0008	然后到老人那边，边帮他掐人中，边说“不是搞的”。
nio_M0009	你生气只是因为本来是你想先偷的吧！
nio_M0010	乐园还配备宾馆、购物场、报告厅和会议中心等设施。
nio_M0011	操场上，小学生蹲在那里，老师不时安慰他们。
nio_M0012	美国国防部先后派出两艘拥有导弹防御能力的驱逐舰，麦凯恩号和迪凯特号到西太平洋预定地区。
nio_M0013	矩阵式架构虽然条块明晰，内部核算清晰，但业务开展起来反应不够迅速，有些分行业务开展可能需要跨总部协调。
nio_M0014	切实承担稳定房价、稳定市场的责任，确保年度目标任务完成。
nio_M0015	带着一丝波波头的设计元素非常新颖个性，让人无法转移视线，加上栗色的染发增添了不少时尚感。
nio_M0016	HP在游戏中是生命值的缩写。
nio_M0017	吹风模式有：吹地板，吹脚，吹腿，吹地。
nio_M0018	陈福田拖延到十月前后，亲自来聘请时，钟书一口就辞谢了。
nio_M0019	我花钱是叫他有经济压力，不要觉得自己有什么了不起，他赚的钱还不够我花，我现在只是买衣服，还没买钻石呢！
nio_M0020	在往届的参赛照片中，他还是个瘦弱的孩子。
nio_M0021	她把下午发生的事，告诉了民警。
nio_M0022	在不断的聊天过程中，刘小慧对这个“华仔”替身心生爱慕之情。
nio_M0023	使白蚁能够幸存于干旱的状态下，白蚁在这片土壤中挖出许多孔，使雨水渗入较冷较深的土壤层，避免土壤表面水分流失。
nio_M0024	黄姓主任遭停聘期间，县府并未发给一半薪水。
nio_M0025	相比电力钢铁等靠投资带动型产业，煤炭纺织等依靠消费带动的产业经营，表现可能不太活跃，同时部分行业产能过剩。
nio_M0026	银行并非平白无故降低手续费。
nio_M0027	请问这次搁浅的原因是什么？
nio_M0028	一张好皮囊，天生因素占了很大一部分。
nio_M0029	ST是魔兽世界副本斯坦索母。
nio_M0030	考官们只提了一个问题，以后就没有谁提问了。
nio_M0031	九五一次航班可能错误设定了无线电频道。
nio_M0032	五月二日，欧洲央行召开例行货币政策会议，决定下调欧元区主导利率，二十五基点至百分之零点五的历史新低。
nio_M0033	儿女们截然不同的态度，让田爹爹心里有了底。
nio_M0034	在这种情况下，中国外交努力的重点是什么？
nio_M0035	我猜你应该对她有遐想吧？
nio_M0036	该店负责人李敏告诉记者，他们一直关注着雅安地震灾区的情况，早就希望能够尽一份自己的力量，就是不知道通过什么途径。
nio_M0037	SA是星战前夜里的一个著名军团。
nio_M0038	朋友打算理论，刚走上去，的哥突然就抡起棍子打了他的头。
nio_M0039	他歪歪倒倒地，只能在这屋里待着，不能出门。
nio_M0040	主驾温度调低了，这样舒服吗？还热吗？
nio_M0041	就在昨天，有媒体报道说，福建一鸭场因禽流感每天被迫活生生闷死上万只初生鸭苗，损失数万元。
nio_M0042	突然间，从路边窜出一名中年妇女，持刀划伤女学生面部。
nio_M0043	从政策、技术、资金等多方面，大力扶持职工发展棉花、甜菜、玉米等高产值、高效益的订单作物致富。
nio_M0044	全车共七个安全气囊，包括前排气囊、前排侧气囊，侧安全气帘和驾驶员七部气囊，提供完备的碰撞安全防护。
nio_M0045	中国建设银行股份有限公司简称，中国建设银行；住所在北京市西城区金融大街二十五号。
nio_M0046	我们稍有一点快乐，他们也会变得非常快乐。
nio_M0047	老虎伍兹组成为观众们追捧的目标，虎动人动随着绳圈里的泰格一路向前，绳圈外的观众也一路走去。
nio_M0048	BTW也有顺便说一下的意思。
nio_M0049	以施工队的工人为主，在医疗队队员指导下搭建军用帐篷，安置群众。
nio_M0050	ASP是动态服务器页面的英文缩写。
nio_M0051	这也预示着一种结束倾诉，有些人在自杀前会开玩笑告诉周围的人，他不想活了，或是抱怨活着没有意思等等。
nio_M0052	雄鹿的后场有双枪，且蒙塔埃利斯或布兰顿詹宁斯，都能以替补杀手的面貌出现。
nio_M0053	号码纠正完毕，确定还是取消？
nio_M0054	云味斋的代表菜是，木瓜炖排骨，萝卜炖羊肉；食材搭配的美妙之处，还在于能使其口味和口感更好。
nio_M0055	最先受到影响的就是东北，“雾锁冰城”几乎成了新成语。
nio_M0056	院子东边有个小房，旁边垒了一堆炭块，显然是厨房。
